Feature,Importance
COURSE_CD_FULL_ALT_380JA.1,0.00091054733
BIRTH_COUNTRY_HONDURAS,0.0009054943
COURSE_TITLE_Bachelor Of Design (Interaction Design),0.0009027242
FACULTY_CODE_FCY-HLT,0.0009019428
COURSE_TITLE_Bachelor Of Primary Education (Health And Physical Education),0.00090183446
COURSE_CD_FULL_ALT_ABB003.1,0.0009008892
BIRTH_COUNTRY_ALGERIA,0.00090067554
BIRTH_COUNTRY_LAOS,0.00089887175
COURSE_CD_FULL_ALT_ARSC03.1,0.00089723174
COURSE_CD_FULL_ALT_833AA.4,0.0008928738
